id,dto,categoría,nivel,texto,A,B,C,D,correct_letter,why,activo
76,Recepción,Operativa Turnos,Avanzado,¿Qué riesgo operativo existe si no se verifica la rooming list antes de la llegada de un grupo?,Que el grupo se aloje sin incidencias,"Que se asignen habitaciones incorrectas, se generen duplicidades en el PMS o se facture mal",Que el recepcionista tenga que imprimir más listados,Que el restaurante no prepare suficientes menús,B,"Sin rooming list verificada, se pueden asignar habitaciones erróneas, duplicar registros en el PMS y generar errores de facturación.",1
77,Recepción,Operativa Turnos,Avanzado,¿Qué debe hacer recepción si el responsable del grupo solicita entregar las llaves directamente a los huéspedes sin pasar por recepción?,"Aceptar sin más, para agilizar el proceso",Solicitar todos los DNIs al responsable antes de la entrega para cumplir con el registro policial,Entregar las llaves sin registrar a nadie,Derivar la entrega a Housekeeping,B,"Si la entrega se hace desde Hospitality, recepción debe recibir todos los DNIs para registrar en el PMS y cumplir con la normativa.",1
78,Recepción,Operativa Turnos,Avanzado,¿Qué debe hacer recepción si un grupo llega con una persona adicional no incluida en la reserva ni en el bono?,Alojarla sin más si hay disponibilidad,"Registrar la incidencia, informar a Comercial y verificar si procede facturación adicional",Ignorar el caso si no afecta a la ocupación,Facturar al guía sin informar,B,Toda variación respecto al bono debe registrarse y notificarse a Comercial para ajustar la facturación y evitar conflictos posteriores.,1
79,Recepción,Reservas ,Básico,¿Qué canal utiliza tarjeta virtual exclusivamente cuando la reserva se hace en la web oficial del hotel?,Webhotel / Synergy,Hotelbeds,Expedia,Booking.com,A,"Las reservas de Webhotel/Synergy permiten pago con tarjeta virtual, pero solo cuando provienen de la web del hotel. Otros canales usan VCC por otras razones.",1
80,Recepción,Reservas ,Básico,¿Cómo aparecen las reservas de Booking.com en el Log Channel?,"Como ""OTA - BOOKING""","Como ""BOOKING DIRECT""","Como ""BOOKINGS EUROPE BV""","Como ""SYNCHRONIZED BOOKING""",C,"El Log Channel identifica a Booking.com con el intermediario ""BOOKINGS EUROPE BV"", según el manual de procedimientos.",1
81,Recepción,Reservas ,Básico,"¿Qué debes hacer si una reserva de Smartbox entra como ""solo alojamiento"" pero el bono incluye desayuno?",Esperar a que el cliente lo reclame,Corregir manualmente el régimen en el PMS para reflejar lo contratado en el bono,Cobrar el desayuno como servicio extra,Dejar la reserva tal como está en el PMS,B,El PMS a veces no refleja correctamente los servicios del bono; es responsabilidad del recepcionista ajustar el régimen para que coincida con lo pagado.,1
82,Recepción,Reservas ,Básico,¿Qué tipo de canal requiere crear la reserva manualmente en el PMS porque no entra por el Log Channel?,Hotelbeds,Keytel,Wonderbox,Expedia,C,Wonderbox y otros canales de cofres regalo (como EgoExperiencias) no se integran automáticamente; el recepcionista debe crear la reserva tras verificar el bono.,1
83,Recepción,Reservas ,Básico,¿A quién se debe facturar una reserva de Expedia Collect (con tarjeta virtual)?,Al huésped que se aloja,Al canal de distribución local,Al departamento de marketing del hotel,A Expedia Global Services,D,"Cuando la reserva es Expedia Collect, el cobro lo realiza Expedia y el hotel factura a Expedia, no al cliente final.",1
84,Recepción,Reservas ,Básico,¿Qué documento es obligatorio archivar junto a la factura para reservas de W2M?,La copia del DNI del huésped,El correo de confirmación de llegada,El bono de la agencia,El listado de Housekeeping,C,El bono es la garantía de crédito y debe adjuntarse a la factura para que la agencia realice el pago.,1
85,Recepción,Reservas ,Básico,¿Qué significa activar la opción “Asume crédito” en una reserva de Weekendesk?,Que la estancia está cubierta por un bono y no se cobra al huésped,Que se aplica un descuento del 10%,Que el cliente pagará en efectivo al salir,Que la reserva es reembolsable,A,"“Asume crédito” indica que el pago corre por cuenta de la agencia o bono, no del huésped, y permite facturar a crédito.",1
86,Recepción,Reservas ,Básico,¿Cómo se debe facturar un “Bono Cumbria Bienestar”?,A nombre del cliente con IVA completo,A nombre de Cumbria Spa,Como una venta normal con cargo al cliente,"A 0 €, anotando los servicios incluidos en observaciones",D,"Las estancias con Bono Cumbria se facturan a 0 €, ya que están cubiertas por el bono; solo se cobran servicios adicionales no incluidos.",1
87,Recepción,Reservas ,Básico,¿Cuál es la comisión habitual aplicada a las reservas de Traveltino?,0.19,0.2,0.15,0.18,A,El manual especifica que Traveltino opera con una comisión del 19% sobre el precio bruto.,1
88,Recepción,Reservas ,Básico,¿Qué debes verificar en una reserva de Booking.com antes del check-in?,Si el huésped ha dejado propina en línea,Si la tarifa es reembolsable y qué tipo de pago tiene (VCC o en hotel),Si la habitación tiene minibar,Si el huésped pertenece a un programa de fidelidad,B,"Es esencial identificar si la tarifa es NRF, EBI o AGWEB para saber cuándo y cómo se cobra, y si hay tarjeta virtual.",1
89,Recepción,Reservas ,Básico,¿En qué canal debes acceder a una intranet externa para identificar al pagador real?,Hotelbeds,HRS,Keytel,Wonderbox,B,"En HRS, el intermediario puede ser “HRS - GROUP”, pero el pagador real (ej.: AMEX) solo se ve en la intranet de HRS.",1
90,Recepción,Reservas ,Básico,¿Qué debes hacer si una reserva directa (Synxis) no tiene correo electrónico del huésped?,Cancelar la integración con SoulGuest,Dejar la reserva sin email,Añadirlo manualmente en el PMS para que funcione SoulGuest,Esperar a que el cliente lo proporcione en el check-in,D,"Sin email, SoulGuest no puede enviar confirmación ni enlace de pago; por eso se debe añadir manualmente en el PMS.",1
91,Recepción,Reservas ,Básico,¿Qué tipo de pago tienen todas las reservas de Hotelbeds?,"Crédito, con cobro directo de la agencia",Directo con tarjeta virtual del canal,Pago anticipado con tarjeta del huésped,Siempre en efectivo en recepción,A,Las reservas de Hotelbeds son siempre a crédito; el hotel no cobra al huésped (salvo extras).,1
92,Recepción,Reservas ,Básico,¿Cómo se identifica una tarifa PYME de Viajes El Corte Inglés?,Por la presencia de “PYME” en el código de la reserva,Por el número de localizador,Por el tipo de habitación reservada,Por la duración de la estancia,A,"Las tarifas PYME incluyen la palabra “PYME” en el código y tienen comisión del 15%, frente al 18% de las públicas.",1
93,Recepción,Reservas ,Básico,¿Qué ocurre si un cliente cancela un bono de EgoExperiencias con menos de 72 horas de antelación?,Se permite reprogramar sin coste,Se reembolsa el 50%,Se cobra una penalización del 30%,El bono se marca como consumido y no es reembolsable,D,"Los cofres regalo tienen cancelación gratuita hasta 72 h antes; pasado ese plazo, se consideran consumidos.",1
94,Recepción,Reservas ,Básico,¿Qué condición es necesaria para que SoulGuest envíe el enlace de check-in online?,Que sea una reserva de grupo,Que la reserva sea de una OTA,Que la reserva tenga email del cliente y garantía válida,Que el huésped haya pagado en efectivo,C,"SoulGuest requiere dos elementos: email del huésped y garantía válida (depósito, tarjeta o bono).",1
95,Recepción,Reservas ,Básico,¿Cómo se deben tratar las noches adicionales en una reserva de Smartbox?,Regalándolas como cortesía,"Como parte del bono original, con todos los servicios incluidos",Cobrándolas al 50% del precio normal,Como alojamiento estándar sin extras del bono,B,"Las noches adicionales no forman parte del cofre regalo; solo incluyen alojamiento, sin desayuno ni spa.",1
96,Recepción,Reservas ,Básico,¿Dónde se debe registrar el número de bono y los servicios incluidos en una reserva de Weekendesk?,En el canal de WhatsApp del hotel,En el libro de registro físico,En el sistema de nóminas,En las observaciones del PMS,D,El manual indica que el número de bono y el desglose de servicios deben anotarse en las observaciones del PMS.,0
97,Recepción,Reservas ,Básico,¿Qué debes hacer si una reserva de HRS indica “Pagadero por: AMEX GLOBAL BUSINESS TRAVEL SL”?,Facturar al huésped,Facturar a AMEX GLOBAL BUSINESS TRAVEL SL,Facturar a HRS,"No facturar, ya que es un error",B,"Cuando el bono especifica un pagador real, la factura debe ir a esa entidad, no a HRS ni al cliente.",1
98,Recepción,Reservas ,Básico,¿A quién se factura una reserva de Traveltino?,Al huésped,Al departamento de contabilidad,Al hotel,A Traveltino,B,"Las reservas de Traveltino se facturan a la agencia, no al cliente, y siempre con el bono adjunto.",1
99,Recepción,Reservas ,Básico,¿Qué debes hacer si una reserva de Roiback no tiene garantía marcada en el PMS?,Forzar la garantía en el PMS y activar SoulGuest manualmente,Cancelar la reserva,Esperar a que el sistema la actualice solo,Emitir una preautorización con la tarjeta del huésped,A,"Sin garantía válida, SoulGuest no funciona; se debe corregir en el PMS para asegurar el cobro y la comunicación.",1
100,Recepción,Reservas ,Básico,¿Qué caracteriza a una reserva “Pago Directo” de Synxis?,Que se paga en el hotel sin comisión y es una reserva directa,Que incluye desayuno gratuito,Que la agencia paga por adelantado,Que se factura a una empresa extranjera,A,"Las reservas “Pago Directo” de Synxis provienen de la web del hotel, se pagan en recepción y no generan comisión.",1
101,Recepción,Reservas ,Básico,¿Qué debes hacer si una reserva de Serhs incluye una subagencia como “Alisios Tours”?,No registrar ninguna agencia,Registrar “Alisios Tours” como agencia real en el PMS,Registrar solo “Serhs” como agencia,Facturar a ambas por separado,B,El manual exige registrar la agencia real que aparece en el bono para que la facturación sea correcta.,1
102,Recepción,Reservas ,Básico,¿Qué debes verificar en una reserva de Webhotel/Synergy que incluye una escapada?,Que la habitación tenga jacuzzi,Que el pago se haya realizado en efectivo,Que el desglose en el PMS incluye la escapada y todos los extras contratados,Que el cliente ha firmado el bono de spa,C,"Los paquetes y extras se añaden automáticamente, pero se debe verificar que el total coincida con lo contratado.",1
103,Recepción,Reservas ,Básico,¿Qué debes hacer si una reserva de Booking.com no incluye número de teléfono?,Esperar a que Booking lo envíe,Cancelar la reserva por datos incompletos,Solicitarlo al huésped durante el check-in,No atender al huésped hasta que lo proporcione,C,Es responsabilidad del recepcionista completar los datos de contacto si no vienen en la reserva.,1
104,Recepción,Reservas ,Intermedio,¿Qué riesgo representa no adjuntar el bono en la facturación de una reserva de Keytel a crédito?,Que Housekeeping no limpie la habitación,Que la agencia rechace el pago por falta de justificante,Que el cliente se queje por la demora,Que el PMS genere un error de sistema,B,"Sin el bono adjunto, la agencia no tiene garantía del servicio prestado y puede negarse a pagar.",1
105,Recepción,Reservas ,Intermedio,¿Por qué es crítico diferenciar entre Expedia Collect y Hotel Collect?,Porque determina quién paga (el cliente o Expedia) y a quién se factura,Porque afecta al tipo de habitación asignada,Porque modifica la comisión del hotel,Porque cambia la política de cancelación,A,"Confundir ambos tipos lleva a facturar al cliente cuando debe ser a Expedia, generando errores contables y pérdida de ingresos.",1
106,Recepción,Reservas ,Intermedio,"En una reserva de Serhs, ¿por qué es importante registrar la subagencia real en el PMS?",Porque el sistema lo exige para imprimir el check-in,Porque el cliente lo solicita expresamente,Porque el bono puede venir de una agencia diferente a Serhs y la factura debe ir al pagador correcto,Porque afecta al cálculo del IVA,C,"Serhs actúa como paraguas; la factura debe ir a la agencia que figura en el bono (ej.: Alisios Tours), no a Serhs.",1
107,Recepción,Reservas ,Intermedio,¿Qué debes hacer si una reserva GDS de Synxis incluye empresa y agencia?,Ninguna de las anteriores es correcta,Registrar solo la empresa,Registrar solo la agencia,Registrar ambas en el formato “Empresa / Agencia”,D,"El manual muestra ejemplos como “Mercadona / AVORIS Retail División S.L.”, lo que permite trazar la cadena de responsabilidad.",1
108,Recepción,Reservas ,Intermedio,¿Qué debes hacer si una reserva de HRS corresponde a una agencia externa (ej.: BCD Travel)?,Facturar al huésped,No facturar hasta recibir confirmación,Facturar a la agencia externa con el bono como respaldo,Facturar a HRS,C,"Cuando el bono indica un pagador real, la factura debe ir a esa entidad, no a HRS.",1
109,Recepción,Reservas ,Intermedio,¿Qué debes hacer si una reserva de Webhotel/Synergy incluye SPA?,Cobrar el SPA como extra no incluido,Registrar solo en el PMS sin comunicación,"Enviar al cliente un correo de firma de SPA, omitiendo la referencia al bono",Esperar a que el huésped lo solicite en recepción,C,"El manual indica que se debe enviar el correo de firma, pero eliminando la parte del bono para evitar confusiones.",1
110,Recepción,Reservas ,Intermedio,¿Cuándo se debe cobrar una reserva de Booking.com con tarifa No Reembolsable (NRF)?,Una semana después de la salida,24 horas antes de la llegada,En el momento en que se recibe la reserva,Al hacer el check-in,C,Las tarifas NRF requieren cobro inmediato a la tarjeta virtual de Booking al recibir la reserva.,1
111,Recepción,Reservas ,Intermedio,¿Qué debes hacer si una reserva de Booking.com con tarifa EBI se recibe con menos de 7 días para la llegada?,Cancelar la reserva,"Cobrarla inmediatamente, ya ha perdido la condición de reembolsable",No tratarla como reembolsable,Esperar al check-in para cobrarla,B,"Si faltan menos de 7 días, la tarifa EBI se convierte en no reembolsable y debe cobrarse al instante.",1
112,Recepción,Reservas ,Intermedio,¿Qué procedimiento se debe seguir ante un no-show en Booking.com?,Esperar 24 horas para ver si el huésped llega,Todas las anteriores son correctas,Cobrar al número de tarjeta del huésped,Ninguna de las anteriores es correcta,A,"Todas las reservas de Booking están garantizadas; si no se presenta, se debe solicitar el cobro por no-show vía extranet.",1
113,Recepción,Reservas ,Intermedio,¿Qué comisión se aplica a las reservas de Viajes El Corte Inglés marcadas como PYME?,0.19,0.2,0.18,0.15,D,"Las tarifas PYME tienen comisión del 15%; las públicas, del 18%. El código de la reserva indica el tipo. (GUADIANA)",1
114,Recepción,Reservas ,Intermedio,¿Cómo se factura una reserva de Keytel con pago directo?,"Sin factura, solo recibo",A nombre del cliente en bruto,A nombre del hotel,A nombre de Keytel en neto,B,"Cuando es pago directo, se factura al cliente en bruto, como una venta normal.",1
115,Recepción,Reservas ,Intermedio,¿Por qué es importante solicitar el teléfono en el check-in si no viene en la reserva?,"Para poder contactar al huésped en caso de incidencias (ej.: averías, objetos olvidados)",Para enviar promociones futuras,Para registrar en el libro de visitas,Para cumplir con la ley de protección de datos,A,El teléfono es clave para gestionar incidencias durante la estancia o después del check-out.,1
116,Recepción,Reservas ,Intermedio,¿Qué debes hacer si no recibes el bono de una reserva de W2M?,Ninguna de las anteriores es correcta,Solicitarlo a la agencia antes de facturar,Cobrar al huésped como medida de seguridad,Facturar sin bono,B,"Sin el bono, no hay garantía de crédito; se debe obtener antes de cerrar la factura.",1
117,Recepción,Reservas ,Intermedio,¿Qué debes hacer si una reserva de Smartbox incluye tratamiento de spa?,Enviar un correo al departamento de spa para su preparación,Esperar a que el huésped lo solicite en recepción,Registrar solo en el PMS,Cobrar el tratamiento como extra,A,El manual exige notificar al spa para que prepare el servicio incluido en el bono.,1
118,Recepción,Reservas ,Intermedio,¿Por qué es necesario corregir el régimen en reservas de Weekendesk?,Porque afecta al cálculo de comisiones,Porque el PMS no permite regímenes combinados,Porque el cliente siempre pide cambios,Porque suelen entrar como “solo alojamiento” aunque el bono incluya más servicios,D,El sistema no interpreta correctamente los servicios del bono; el recepcionista debe ajustar manualmente el régimen.,1
119,Recepción,Reservas ,Avanzado,Un cliente llega con un bono de Wonderbox. ¿Qué acción es obligatoria antes de crear la reserva?,Esperar a que el spa confirme disponibilidad,Solicitar copia del DNI por email,Verificar la validez del bono en la intranet de Wonderbox,Cobrar una preautorización con tarjeta,C,"Sin verificar la validez del bono, no se puede garantizar que la experiencia esté activa o pagada.",1
120,Recepción,Reservas ,Avanzado,"¿Qué consecuencia real puede producirse si, en una reserva prepago de Hotelbeds, se emite la factura a nombre del huésped en lugar de hacerlo a la propia agencia?","El PMS interpreta la operación como un “cargo duplicado”, activa el protocolo de conciliación automática y bloquea temporalmente la cuenta del huésped hasta la revisión manual","El sistema de pagos de Hotelbeds genera un contracargo interno, lo que provoca que la reserva se marque como “abonada por error” y se compense con un reembolso automático al cliente.","La agencia no realiza el pago correspondiente al hotel, porque al facturarse al cliente se invalida la modalidad de prepago; el ingreso se pierde y el huésped puede manifestar malestar al no entender el cobro indebido.",Housekeeping recibe una alerta de “facturación inconsistente” y mantiene la habitación en estado Out of Order hasta que recepción regulariza la operación.,C,"Hotelbeds solo paga cuando la factura se emite correctamente a su nombre. Si se factura al cliente, la reserva deja de considerarse prepago y la agencia no abona la estancia, lo que implica una pérdida económica para el hotel y un conflicto con el huésped, que ve un cobro que no debería existir.",1
121,Recepción,Reservas ,Avanzado,¿Qué debes hacer si una reserva de HRS aparece como “HRS - GROUP” pero el bono indica otro pagador?,Facturar al huésped,Facturar al pagador indicado en el bono,Facturar a HRS,No facturar hasta recibir aclaración,B,"El bono es el documento vinculante; la factura debe ir al pagador real, no al intermediario.",1
122,Recepción,Reservas ,Avanzado,¿Por qué es esencial revisar las modificaciones posteriores en reservas de Keytel?,Porque suelen enviar cambios por correo que afectan al pago o servicios,Porque el PMS no las actualiza automáticamente,Porque afecta a la comisión del recepcionista,Porque el cliente siempre cambia de idea,A,El manual advierte: “Puede haber modificaciones posteriores enviadas por correo… es imprescindible revisarlas”.,1
123,Recepción,Reservas ,Avanzado,¿Qué implica no corregir el régimen en una reserva de Smartbox que incluye desayuno?,Que el cliente no reciba el desayuno,Que el hotel facture de más,"Que se genere una discrepancia entre lo pagado y lo registrado, afectando a la auditoría",Que Housekeeping no prepare la habitación,C,"El PMS debe reflejar exactamente lo incluido en el bono; de lo contrario, la auditoría detectará errores de ingresos.",1
124,Recepción,Reservas ,Avanzado,¿Qué debes hacer si una reserva de Booking.com con tarifa EBI se recibe con 10 días de antelación?,Esperar al check-in,Cancelar por error de canal,Programar el cobro para 7 días antes de la llegada,Cobrar inmediatamente,C,Las tarifas EBI con más de 7 días de antelación se cobran 7 días antes de la llegada.,1
125,Recepción,Reservas ,Avanzado,¿Qué riesgo hay si no se fuerza SoulGuest en una reserva directa sin email?,Que el PMS se bloquee,Que el cliente no reciba confirmación ni enlace de pago,Que la agencia cancele la reserva,Que Housekeeping no reciba la asignación,B,"Sin email y sin activación manual, el cliente no recibe la comunicación automática, lo que puede generar quejas o no-shows.",1
126,Recepción,Reservas ,Avanzado,¿Qué debes hacer si una reserva de Webhotel/Synergy incluye una botella de vino como extra?,Esperar a que el cliente la reclame,Regalarla si el cliente es habitual,Verificar que aparezca en el desglose final del PMS,Cobrarla aparte en el check-out,C,"Los extras se añaden automáticamente, pero se debe verificar que el importe total coincida con lo contratado.",1
127,Recepción,Reservas ,Avanzado,¿Por qué es importante registrar la subagencia en reservas de Serhs?,Porque el cliente lo exige,Porque afecta a la asignación de habitaciones,Porque la comisión varía según la agencia real,Porque la factura debe ir al pagador correcto para asegurar el cobro,D,"La agencia que paga es la que figura en el bono; facturar a Serhs en lugar de a Alisios Tours, por ejemplo, puede retrasar o impedir el pago.",1
128,Recepción,Reservas ,Avanzado,¿Qué debes hacer si una reserva de Expedia Collect no tiene tarjeta virtual visible?,Cobrar al cliente en recepción,Facturar igual a Expedia,Esperar al turno de noche,Contactar con Expedia para verificar los datos,D,"Sin VCC válida, no se puede cobrar; se debe contactar con Expedia para resolver antes de la llegada.",1
129,Recepción,Reservas ,Avanzado,¿Qué significa que una reserva de Synxis sea “GDS Amadeus”?,Que proviene de una agencia conectada vía GDS y debe registrarse con empresa y agencia,Que no lleva comisión,Que se paga en efectivo,Que es una reserva directa del cliente,A,"Las reservas GDS de Synxis son a crédito, suelen incluir empresa y agencia, y requieren registro detallado.",1
130,Recepción,Reservas ,Avanzado,¿Qué debes hacer si una reserva de Bono Cumbria no tiene número de bono en recepción?,Cancelar la estancia,Comprobar el número con el Spa y anotarlo en el PMS,Esperar a que el cliente lo proporcione al salir,Cobrar como una reserva normal,B,El bono se gestiona desde el Spa; recepción debe verificar y registrar el número para trazabilidad.,1
131,Recepción,Reservas ,Avanzado,¿Por qué es crítico archivar el bono de Wonderbox junto a la factura?,Porque se necesita para el IVA,Porque es el único justificante de que la estancia está cubierta,Porque el PMS lo exige,Porque el cliente lo solicita,B,"Sin el bono archivado, no hay prueba de que la estancia fue pagada mediante cofre regalo, lo que puede generar problemas contables.",1
132,Recepción,Reservas ,Avanzado,¿Qué debes hacer si una reserva de Traveltino no incluye comisión en el PMS?,Aplicar manualmente el 19% en la facturación,Facturar en bruto sin comisión,Cobrar al cliente la diferencia,Esperar a que el sistema la calcule,A,"Traveltino opera con comisión del 19%; si no aparece, se debe aplicar manualmente al facturar en neto.",1
133,Recepción,Reservas ,Avanzado,¿Qué implica no registrar una petición especial (ej.: cuna) en el PMS?,Que el hotel pierda la comisión,Que el PMS genere un error,Que Housekeeping no la prepare y el cliente tenga una mala experiencia,Que la OTA cancele la reserva,C,"Las peticiones especiales deben registrarse en el PMS para que los departamentos las atiendan; de lo contrario, se incumple el servicio prometido.",1
134,Recepción,Reservas ,Avanzado,¿Qué debes hacer si una reserva de Weekendesk incluye cena romántica?,Verificar que el desglose diario en el PMS incluya la cena con su precio,Cobrarla aparte en el restaurante,Registrar solo el alojamiento,Esperar a que el cliente la solicite,A,El manual exige desglosar todos los servicios diarios para que el total coincida con el valor del bono.,1
135,Recepción,Reservas ,Avanzado,¿Por qué es importante que el número de bono de Smartbox esté en las observaciones del PMS?,Porque el sistema lo requiere para imprimir,Para facilitar la auditoría y la trazabilidad del servicio,Porque el cliente lo pide,Porque afecta al cálculo del IVA,B,"En caso de incidencias o auditorías, el número de bono en observaciones permite vincular la estancia con el cofre regalo.",1
136,Recepción,Reservas ,Avanzado,¿Qué debes hacer si una reserva de Webhotel/Synergy no está pagada y es No Reembolsable?,Ofrecer cambio de tarifa,Realizar un depósito con la tarjeta proporcionada,Cancelar la reserva,Esperar al check-in para cobrar,B,"Las tarifas no reembolsables requieren garantía; si no está pagada, se debe realizar un depósito.",1
137,Recepción,Reservas ,Avanzado,¿Qué riesgo hay si se cobra a un cliente de W2M en recepción?,Que Housekeeping no limpie,Que el PMS se bloquee,Que el cliente se queje,Que la agencia no pague y el hotel cobre dos veces,D,W2M paga directamente; cobrar al cliente genera doble cobro y conflicto con la agencia.,1
138,Recepción,Reservas ,Avanzado,¿Qué debes hacer si una reserva de HRS es de pago directo pero no tiene tarjeta?,Facturar sin cobro,Esperar a que HRS envíe VCC,Cancelar la reserva,Solicitar método de pago en el check-in,D,"Las reservas de pago directo requieren que el cliente pague en el hotel; si no hay tarjeta, se debe gestionar en el check-in.",1
139,Recepción,Reservas ,Avanzado,¿Por qué es esencial revisar el Log Channel al final del turno?,Porque el gerente lo exige diariamente,"Para verificar que las garantías, releases y bonos coincidan con la política del canal",Porque se genera un informe automático,Porque afecta al cierre de caja,B,El control del Log Channel asegura que no haya errores en garantías o releases que puedan causar no-shows no cobrados.,1
140,Recepción,Reservas ,Avanzado,¿Qué debes hacer si una reserva de Booking.com tiene apellidos incorrectos?,Cancelar la reserva,Dejarlo como está,Notificar a Booking para que lo corrija,Corregir manualmente en el PMS para coincidir con el DNI,D,El nombre debe coincidir con el documento de identidad para el registro de viajeros; se corrige manualmente en el PMS.,1
141,Recepción,Reservas ,Avanzado,¿Qué implica no pulsar “Asume crédito” en una reserva de Smartbox?,Que el sistema trate la reserva como pago en efectivo y genere errores en la auditoría,Que el cliente no pueda hacer check-in,Que el spa no prepare el tratamiento,Que Housekeeping no reciba la asignación,A,"Sin “Asume crédito”, el PMS no reconoce que es un bono, lo que puede llevar a intentar cobrar al cliente o errores contables.",1
142,Recepción,Reservas ,Avanzado,¿Qué debes hacer si una reserva de EgoExperiencias no tiene marca de cofre en el PMS?,Cancelar la reserva,Registrar manualmente la marca del cofre regalo (ej.: EgoExperiencias),Esperar a que el cliente lo indique,Dejarlo en blanco,B,El manual exige registrar la marca del cofre para trazabilidad y correcta gestión del bono.,1
143,Recepción,Reservas ,Avanzado,¿Por qué es importante que las noches adicionales en Smartbox se registren solo como alojamiento?,Porque el cliente así lo solicita,Porque afecta a la comisión,Porque el PMS no permite otro régimen,Porque el bono original no cubre extras para noches adicionales,A,Las noches adicionales no forman parte del cofre; registrarlas con desayuno o spa generaría un servicio no pagado.,1
144,Recepción,Reservas ,Avanzado,¿Qué debes hacer si una reserva de Viajes El Corte Inglés no tiene número de bono?,Facturar sin bono,Solicitarlo a la agencia antes de facturar,Cobrar al cliente,No procede según protocolo,B,"El bono es la garantía; sin él, no se puede facturar a crédito.",1
145,Recepción,Reservas ,Avanzado,¿Qué consecuencia tiene facturar en bruto una reserva de Hotelbeds?,Que el cliente reciba factura incorrecta,Que el hotel declare ingresos mayores de los reales y pague más impuestos,Que el PMS se bloquee,Que Housekeeping no limpie,B,Hotelbeds paga en neto; facturar en bruto distorsiona la contabilidad y genera discrepancias fiscales.,1
146,Recepción,Reservas ,Avanzado,¿Qué debes hacer si una reserva de Keytel tiene dos bonos adjuntos?,Cancelar la reserva,Ninguna de las anteriores es correcta,Usar el primero que llegó,Usar el más reciente y archivar ambos,D,Las modificaciones posteriores son comunes; se debe usar el bono actualizado y conservar el historial.,1
147,Recepción,Reservas ,Avanzado,¿Por qué es importante que el desglose diario en Weekendesk coincida con el valor del bono?,Porque el PMS lo requiere para cerrar,Que afecta a la comisión del recepcionista,Porque es un requisito para la auditoría interna y externa,Porque el cliente lo exige,C,"El total del desglose debe coincidir exactamente con el valor del bono; de lo contrario, se detecta como error en auditoría.",1
148,Recepción,Reservas ,Avanzado,¿Qué debes hacer si una reserva de Serhs no especifica si es prepago o crédito?,Asignar como crédito por defecto,Revisar el bono o contactar con la agencia para confirmar,Asignar como prepago por defecto,Cancelar la reserva,B,"La forma de pago determina la facturación; si no está clara, se debe confirmar antes de proceder.",1
149,Recepción,Reservas ,Avanzado,¿Qué implica no archivar el bono de Traveltino?,Que la agencia rechace la factura por falta de documentación,Que el PMS genere un error,Que el cliente no pueda salir del hotel,Que Housekeeping no limpie,A,"Sin el bono, no hay prueba de la garantía ni del acuerdo comercial; la agencia puede negarse a pagar.",1
150,Recepción,Reservas ,Avanzado,¿Qué debes hacer si una reserva de Webhotel/Synergy incluye flores pero no aparecen en el PMS?,Regalar las flores,Añadir manualmente el cargo para que el desglose coincida con lo contratado,Cobrar en el check-out,Esperar a que el sistema lo actualice,B,"Los extras deben reflejarse en el PMS; si no aparecen, se añaden manualmente para mantener la coherencia contable.",1
151,Recepción,Reservas ,Avanzado,¿Por qué es esencial verificar el tipo de tarifa en Booking.com al recibir la reserva?,"Porque determina el esquema de cobro y cancelación asignado por Booking.com y permite saber si el pago debe gestionarse por el hotel, por Payments o según condiciones especiales, evitando riesgos de no-show",Porque puede modificar los servicios asociados a la reserva según el acuerdo de contenido con Booking.com,Porque influye en el porcentaje de comisión aplicado en determinadas campañas promocionales,Porque define si la reserva debe asignarse a una categoría prioritaria dentro del inventario disponible,A,"El tipo de tarifa determina si el cobro es inmediato, anticipado, flexible o gestionado por Payments by Booking, lo que afecta directamente al momento del cobro y a la detección de riesgo de no-show. Por ello es imprescindible confirmar el tipo de tarifa al recibir la reserva.",1
152,Recepción,Reservas ,Avanzado,¿Qué debes hacer si una reserva de Expedia Collect tiene una VCC caducada?,Cobrar al cliente en recepción,Contactar con Expedia para obtener una nueva,Esperar a que el sistema la actualice,Facturar igual a Expedia,B,"Sin VCC válida, no se puede cobrar; se debe resolver con Expedia antes de la llegada para evitar pérdidas.",1
153,Recepción,Reservas ,Avanzado,¿Qué riesgo hay si se factura a nombre de “Serhs” en lugar de la subagencia real?,Que el PMS se bloquee,Que Housekeeping no limpie,Que la subagencia no reconozca la factura y no pague,Que el cliente se queje,C,"La factura debe ir al pagador real; si se emite a Serhs, la subagencia puede rechazarla, retrasando o impidiendo el cobro.",1
154,Recepción,Reservas ,Avanzado,¿Qué riesgo hay si se factura a nombre de “Serhs” en lugar de la subagencia real?,Que la subagencia no reconozca la factura y no pague,Que el cliente se queje,Que el PMS se bloquee,Que Housekeeping no limpie,A,"La factura debe ir al pagador real; si se emite a Serhs, la subagencia puede rechazarla, retrasando o impidiendo el cobro.",1
